winner_id,tourney_id,match_won
104999,2016-0496,3
104672,2016-0496,3
104607,2016-0496,2
103898,2016-0496,2
105676,2016-0496,2
104932,2016-0496,2
105723,2016-0496,2
104095,2016-0496,1
104755,2016-0496,1
106137,2016-0496,1
100644,2016-0496,1
104947,2016-0496,1
104559,2016-0496,1
104898,2016-0496,1
105376,2016-0496,1
104660,2016-0496,1
111460,2016-0496,1
105208,2016-0496,1
104527,2016-0496,1
105023,2016-0499,5
104330,2016-0499,4
105147,2016-0499,3
105223,2016-0499,3
105777,2016-0499,3
105441,2016-0499,3
106261,2016-0499,2
105065,2016-0499,2
103794,2016-0499,2
104871,2016-0499,2
105173,2016-0499,2
105430,2016-0499,2
105572,2016-0499,1
106216,2016-0499,1
105011,2016-0499,1
106415,2016-0499,1
106000,2016-0499,1
105385,2016-0499,1
104563,2016-0499,1
104268,2016-0499,1
111511,2016-0499,1
105449,2016-0499,1
104252,2016-0500,5
100644,2016-0500,4
103819,2016-0500,3
105216,2016-0500,3
103794,2016-0500,3
104660,2016-0500,3
106233,2016-0500,3
104259,2016-0500,2
105676,2016-0500,2
105208,2016-0500,2
104571,2016-0500,2
104312,2016-0500,2
105453,2016-0500,1
104559,2016-0500,1
103333,2016-0500,1
104291,2016-0500,1
105376,2016-0500,1
104330,2016-0500,1
104898,2016-0500,1
104460,2016-0500,1
105147,2016-0500,1
106233,2016-0506,5
104597,2016-0506,4
105671,2016-0506,3
103656,2016-0506,2
105487,2016-0506,2
103970,2016-0506,2
106065,2016-0506,2
105583,2016-0506,2
104655,2016-0506,2
103893,2016-0506,2
104745,2016-0506,2
106043,2016-0506,1
106105,2016-0506,1
105053,2016-0506,1
104919,2016-0506,1
104338,2016-0506,1
103835,2016-0506,1
106032,2016-0506,1
105643,2016-0506,1
105952,2016-0506,1
104542,2016-0506,1
105641,2016-0506,1
105064,2016-0526,5
105438,2016-0526,4
104735,2016-0526,3
104559,2016-0526,3
105302,2016-0526,3
105649,2016-0526,3
104999,2016-0526,2
105430,2016-0526,2
106121,2016-0526,2
105932,2016-0526,2
111508,2016-0526,2
123893,2016-0526,1
105426,2016-0526,1
105889,2016-0526,1
111575,2016-0526,1
105487,2016-0526,1
105526,2016-0526,1
111576,2016-0526,1
105678,2016-0526,1
105472,2016-0526,1
104252,2016-0526,1
105613,2016-0526,1
105029,2016-0526,1
126149,2016-0526,1
120775,2016-0526,1
206219,2016-0528,5
